"subjID","trial","deck","loss","gain","Study","group_id"
6,72,2,0,100,"Horstmann",1
6,73,1,0,100,"Horstmann",1
6,74,2,0,100,"Horstmann",1
6,75,2,0,100,"Horstmann",1
6,76,2,0,100,"Horstmann",1
6,77,2,0,100,"Horstmann",1
6,78,2,0,100,"Horstmann",1
6,79,1,-350,100,"Horstmann",1
6,80,2,-1250,100,"Horstmann",1
6,81,2,0,100,"Horstmann",1
6,82,2,0,100,"Horstmann",1
6,83,2,0,100,"Horstmann",1
6,84,2,0,100,"Horstmann",1
6,85,2,0,100,"Horstmann",1
6,86,3,0,50,"Horstmann",1
6,87,1,0,100,"Horstmann",1
6,88,2,0,100,"Horstmann",1
6,89,2,-1250,100,"Horstmann",1
6,90,2,0,100,"Horstmann",1
6,91,2,0,100,"Horstmann",1
6,92,2,0,100,"Horstmann",1
6,93,2,0,100,"Horstmann",1
6,94,2,0,100,"Horstmann",1
6,95,4,0,50,"Horstmann",1
6,96,1,-150,100,"Horstmann",1
6,97,2,0,100,"Horstmann",1
6,98,2,0,100,"Horstmann",1
6,99,2,0,100,"Horstmann",1
6,100,2,0,100,"Horstmann",1
7,1,3,0,50,"Horstmann",1
7,2,1,0,100,"Horstmann",1
7,3,2,0,100,"Horstmann",1
7,4,4,0,50,"Horstmann",1
7,5,3,0,50,"Horstmann",1
7,6,1,0,100,"Horstmann",1
7,7,1,-300,100,"Horstmann",1
7,8,2,0,100,"Horstmann",1
7,9,4,0,50,"Horstmann",1
7,10,3,-50,50,"Horstmann",1
7,11,1,0,100,"Horstmann",1
7,12,2,0,100,"Horstmann",1
7,13,4,0,50,"Horstmann",1
7,14,3,-50,50,"Horstmann",1
7,15,2,0,100,"Horstmann",1
7,16,4,0,50,"Horstmann",1
7,17,1,-250,100,"Horstmann",1
7,18,2,0,100,"Horstmann",1
7,19,2,0,100,"Horstmann",1
7,20,2,0,100,"Horstmann",1
7,21,2,-1250,100,"Horstmann",1
7,22,4,0,50,"Horstmann",1
7,23,3,0,50,"Horstmann",1
7,24,1,-350,100,"Horstmann",1
7,25,3,0,50,"Horstmann",1
7,26,4,-250,50,"Horstmann",1
7,27,2,0,100,"Horstmann",1
7,28,1,0,100,"Horstmann",1
7,29,1,0,100,"Horstmann",1
7,30,3,0,50,"Horstmann",1
7,31,2,0,100,"Horstmann",1
7,32,4,0,50,"Horstmann",1
7,33,4,0,50,"Horstmann",1
7,34,3,-50,50,"Horstmann",1
7,35,1,-150,100,"Horstmann",1
7,36,2,0,100,"Horstmann",1
7,37,4,0,50,"Horstmann",1
7,38,4,0,50,"Horstmann",1
7,39,4,0,50,"Horstmann",1
7,40,4,0,50,"Horstmann",1
7,41,4,0,50,"Horstmann",1
7,42,2,0,100,"Horstmann",1
7,43,4,0,50,"Horstmann",1
7,44,1,-200,100,"Horstmann",1
7,45,3,-50,50,"Horstmann",1
7,46,2,0,100,"Horstmann",1
7,47,4,0,50,"Horstmann",1
7,48,2,0,100,"Horstmann",1
7,49,4,-250,50,"Horstmann",1
7,50,2,-1250,100,"Horstmann",1
7,51,4,0,50,"Horstmann",1
7,52,1,-350,100,"Horstmann",1
7,53,3,-50,50,"Horstmann",1
7,54,1,-250,100,"Horstmann",1
7,55,4,0,50,"Horstmann",1
7,56,2,0,100,"Horstmann",1
7,57,2,0,100,"Horstmann",1
7,58,2,0,100,"Horstmann",1
7,59,4,0,50,"Horstmann",1
7,60,2,0,100,"Horstmann",1
7,61,4,0,50,"Horstmann",1
7,62,2,0,100,"Horstmann",1
7,63,4,0,50,"Horstmann",1
7,64,2,0,100,"Horstmann",1
7,65,2,0,100,"Horstmann",1
7,66,2,0,100,"Horstmann",1
7,67,2,0,100,"Horstmann",1
7,68,4,0,50,"Horstmann",1
7,69,2,0,100,"Horstmann",1
7,70,3,-50,50,"Horstmann",1
7,71,4,0,50,"Horstmann",1
7,72,2,0,100,"Horstmann",1
7,73,2,0,100,"Horstmann",1
7,74,2,0,100,"Horstmann",1
7,75,4,0,50,"Horstmann",1
7,76,4,-250,50,"Horstmann",1
7,77,4,0,50,"Horstmann",1
7,78,2,0,100,"Horstmann",1
7,79,3,-50,50,"Horstmann",1
7,80,4,0,50,"Horstmann",1
7,81,2,-1250,100,"Horstmann",1
7,82,4,0,50,"Horstmann",1
7,83,4,0,50,"Horstmann",1
7,84,2,0,100,"Horstmann",1
7,85,2,0,100,"Horstmann",1
7,86,2,0,100,"Horstmann",1
7,87,2,0,100,"Horstmann",1
7,88,2,0,100,"Horstmann",1
7,89,2,0,100,"Horstmann",1
7,90,2,0,100,"Horstmann",1
7,91,2,0,100,"Horstmann",1
7,92,2,0,100,"Horstmann",1
7,93,4,0,50,"Horstmann",1
7,94,4,0,50,"Horstmann",1
7,95,4,0,50,"Horstmann",1
7,96,4,0,50,"Horstmann",1
7,97,1,0,100,"Horstmann",1
7,98,1,-300,100,"Horstmann",1
7,99,4,0,50,"Horstmann",1
7,100,4,-250,50,"Horstmann",1
8,1,4,0,50,"Horstmann",1
8,2,1,-350,100,"Horstmann",1
8,3,1,0,100,"Horstmann",1
8,4,2,0,100,"Horstmann",1
8,5,4,0,50,"Horstmann",1
8,6,3,0,50,"Horstmann",1
8,7,4,0,50,"Horstmann",1
8,8,1,0,100,"Horstmann",1
8,9,3,0,50,"Horstmann",1
8,10,2,0,100,"Horstmann",1
8,11,4,0,50,"Horstmann",1
8,12,1,0,100,"Horstmann",1
8,13,2,0,100,"Horstmann",1
8,14,3,-50,50,"Horstmann",1
8,15,4,0,50,"Horstmann",1
8,16,4,0,50,"Horstmann",1
8,17,4,-250,50,"Horstmann",1
8,18,1,-200,100,"Horstmann",1
8,19,2,0,100,"Horstmann",1
